pair_id,img_a,img_b,stratum,is_pcg,pcg_seed,label,annotator,note,timestamp
60,scripts/test photo for similarity_label_tool/113.jpg,__PCG_GENERATED__,pcg_generated,1,42550686,2,anonymous,,2026-03-19T12:36:17
61,scripts/test photo for similarity_label_tool/140.jpg,scripts/test photo for similarity_label_tool/47.jpg,same_dir,0,0,0,anonymous,,2026-03-19T12:36:19
62,scripts/test photo for similarity_label_tool/29.jpg,scripts/test photo for similarity_label_tool/47.jpg,same_dir,0,0,0,anonymous,,2026-03-19T12:36:20
63,scripts/test photo for similarity_label_tool/137.jpg,__PCG_GENERATED__,pcg_generated,1,42578214,1,anonymous,,2026-03-19T12:36:23
64,scripts/test photo for similarity_label_tool/29.jpg,scripts/test photo for similarity_label_tool/83.jpg,same_dir,0,0,0,anonymous,,2026-03-19T12:36:24
65,scripts/test photo for similarity_label_tool/14.jpg,scripts/test photo for similarity_label_tool/164.jpg,same_dir,0,0,0,anonymous,,2026-03-19T12:36:24
66,scripts/test photo for similarity_label_tool/14.jpg,__PCG_GENERATED__,pcg_generated,1,42605742,1,anonymous,,2026-03-19T12:36:27
67,scripts/test photo for similarity_label_tool/185.jpg,scripts/test photo for similarity_label_tool/20.jpg,same_dir,0,0,0,anonymous,,2026-03-19T12:36:27
68,scripts/test photo for similarity_label_tool/11.jpg,scripts/test photo for similarity_label_tool/50.jpg,same_dir,0,0,0,anonymous,,2026-03-19T12:36:28
69,scripts/test photo for similarity_label_tool/20.jpg,__PCG_GENERATED__,pcg_generated,1,42633270,3,anonymous,,2026-03-19T12:36:37
70,scripts/test photo for similarity_label_tool/125.jpg,scripts/test photo for similarity_label_tool/32.jpg,same_dir,0,0,0,anonymous,,2026-03-19T12:36:38
71,scripts/test photo for similarity_label_tool/35.jpg,scripts/test photo for similarity_label_tool/65.jpg,same_dir,0,0,0,anonymous,,2026-03-19T12:36:38
72,scripts/test photo for similarity_label_tool/30.jpg,__PCG_GENERATED__,pcg_generated,1,42660798,2,anonymous,,2026-03-19T12:36:42
73,scripts/test photo for similarity_label_tool/110.jpg,scripts/test photo for similarity_label_tool/30.jpg,same_dir,0,0,0,anonymous,,2026-03-19T12:36:43
74,scripts/test photo for similarity_label_tool/167.jpg,scripts/test photo for similarity_label_tool/30.jpg,same_dir,0,0,0,anonymous,,2026-03-19T12:36:44
75,scripts/test photo for similarity_label_tool/104.jpg,__PCG_GENERATED__,pcg_generated,1,42688326,1,anonymous,,2026-03-19T12:36:46
76,scripts/test photo for similarity_label_tool/143.jpg,scripts/test photo for similarity_label_tool/23.jpg,same_dir,0,0,0,anonymous,,2026-03-19T12:36:46
77,scripts/test photo for similarity_label_tool/35.jpg,scripts/test photo for similarity_label_tool/44.jpg,same_dir,0,0,0,anonymous,,2026-03-19T12:36:47
78,scripts/test photo for similarity_label_tool/27.jpg,__PCG_GENERATED__,pcg_generated,1,42715854,2,anonymous,,2026-03-19T12:36:49
79,scripts/test photo for similarity_label_tool/35.jpg,scripts/test photo for similarity_label_tool/80.jpg,same_dir,0,0,0,anonymous,,2026-03-19T12:36:49
80,scripts/test photo for similarity_label_tool/33.jpg,scripts/test photo for similarity_label_tool/56.jpg,same_dir,0,0,0,anonymous,,2026-03-19T12:36:50
81,scripts/test photo for similarity_label_tool/134.jpg,__PCG_GENERATED__,pcg_generated,1,42743382,3,anonymous,,2026-03-19T12:36:53
82,scripts/test photo for similarity_label_tool/119.jpg,scripts/test photo for similarity_label_tool/149.jpg,same_dir,0,0,0,anonymous,,2026-03-19T12:36:54
83,scripts/test photo for similarity_label_tool/44.jpg,scripts/test photo for similarity_label_tool/95.jpg,same_dir,0,0,0,anonymous,,2026-03-19T12:36:55
84,scripts/test photo for similarity_label_tool/41.jpg,__PCG_GENERATED__,pcg_generated,1,42770910,2,anonymous,,2026-03-19T12:36:56
85,scripts/test photo for similarity_label_tool/20.jpg,scripts/test photo for similarity_label_tool/98.jpg,same_dir,0,0,0,anonymous,,2026-03-19T12:36:57
86,scripts/test photo for similarity_label_tool/20.jpg,scripts/test photo for similarity_label_tool/86.jpg,same_dir,0,0,0,anonymous,,2026-03-19T12:36:58
87,scripts/test photo for similarity_label_tool/33.jpg,__PCG_GENERATED__,pcg_generated,1,42798438,1,anonymous,,2026-03-19T12:36:59
88,scripts/test photo for similarity_label_tool/32.jpg,scripts/test photo for similarity_label_tool/8.jpg,same_dir,0,0,0,anonymous,,2026-03-19T12:36:59
89,scripts/test photo for similarity_label_tool/125.jpg,scripts/test photo for similarity_label_tool/164.jpg,same_dir,0,0,0,anonymous,,2026-03-19T12:37:01
90,scripts/test photo for similarity_label_tool/38.jpg,__PCG_GENERATED__,pcg_generated,1,42825966,1,anonymous,,2026-03-19T12:37:02
91,scripts/test photo for similarity_label_tool/26.jpg,scripts/test photo for similarity_label_tool/95.jpg,same_dir,0,0,0,anonymous,,2026-03-19T12:37:03
92,scripts/test photo for similarity_label_tool/155.jpg,scripts/test photo for similarity_label_tool/30.jpg,same_dir,0,0,0,anonymous,,2026-03-19T12:37:04
93,scripts/test photo for similarity_label_tool/26.jpg,__PCG_GENERATED__,pcg_generated,1,42853494,2,anonymous,,2026-03-19T12:37:06
94,scripts/test photo for similarity_label_tool/104.jpg,scripts/test photo for similarity_label_tool/119.jpg,same_dir,0,0,0,anonymous,,2026-03-19T12:37:07
95,scripts/test photo for similarity_label_tool/74.jpg,scripts/test photo for similarity_label_tool/80.jpg,same_dir,0,0,0,anonymous,,2026-03-19T12:37:08
96,scripts/test photo for similarity_label_tool/170.jpg,__PCG_GENERATED__,pcg_generated,1,42881022,2,anonymous,,2026-03-19T12:37:10
97,scripts/test photo for similarity_label_tool/11.jpg,scripts/test photo for similarity_label_tool/140.jpg,same_dir,0,0,0,anonymous,,2026-03-19T12:37:11
98,scripts/test photo for similarity_label_tool/28.jpg,scripts/test photo for similarity_label_tool/80.jpg,same_dir,0,0,0,anonymous,,2026-03-19T12:37:12
99,scripts/test photo for similarity_label_tool/14.jpg,__PCG_GENERATED__,pcg_generated,1,42908550,2,anonymous,,2026-03-19T12:37:13
100,scripts/test photo for similarity_label_tool/113.jpg,scripts/test photo for similarity_label_tool/44.jpg,same_dir,0,0,0,anonymous,,2026-03-19T12:37:13
101,scripts/test photo for similarity_label_tool/110.jpg,scripts/test photo for similarity_label_tool/71.jpg,same_dir,0,0,0,anonymous,,2026-03-19T12:37:14
102,scripts/test photo for similarity_label_tool/176.jpg,__PCG_GENERATED__,pcg_generated,1,42936078,2,anonymous,,2026-03-19T12:37:16
103,scripts/test photo for similarity_label_tool/122.jpg,scripts/test photo for similarity_label_tool/34.jpg,same_dir,0,0,0,anonymous,,2026-03-19T12:37:16
104,scripts/test photo for similarity_label_tool/27.jpg,scripts/test photo for similarity_label_tool/92.jpg,same_dir,0,0,0,anonymous,,2026-03-19T12:37:17
105,scripts/test photo for similarity_label_tool/29.jpg,__PCG_GENERATED__,pcg_generated,1,42963606,1,anonymous,,2026-03-19T12:37:19
106,scripts/test photo for similarity_label_tool/137.jpg,scripts/test photo for similarity_label_tool/95.jpg,same_dir,0,0,0,anonymous,,2026-03-19T12:37:19
107,scripts/test photo for similarity_label_tool/152.jpg,scripts/test photo for similarity_label_tool/41.jpg,same_dir,0,0,1,anonymous,,2026-03-19T12:37:21
108,scripts/test photo for similarity_label_tool/146.jpg,__PCG_GENERATED__,pcg_generated,1,42991134,0,anonymous,,2026-03-19T12:37:23
109,scripts/test photo for similarity_label_tool/33.jpg,scripts/test photo for similarity_label_tool/34.jpg,same_dir,0,0,0,anonymous,,2026-03-19T12:37:24
110,scripts/test photo for similarity_label_tool/176.jpg,scripts/test photo for similarity_label_tool/83.jpg,same_dir,0,0,0,anonymous,,2026-03-19T12:37:25
111,scripts/test photo for similarity_label_tool/68.jpg,__PCG_GENERATED__,pcg_generated,1,43018662,0,anonymous,,2026-03-19T12:37:26
112,scripts/test photo for similarity_label_tool/119.jpg,scripts/test photo for similarity_label_tool/140.jpg,same_dir,0,0,0,anonymous,,2026-03-19T12:37:27
113,scripts/test photo for similarity_label_tool/110.jpg,scripts/test photo for similarity_label_tool/158.jpg,same_dir,0,0,0,anonymous,,2026-03-19T12:37:28
114,scripts/test photo for similarity_label_tool/8.jpg,__PCG_GENERATED__,pcg_generated,1,43046190,1,anonymous,,2026-03-19T12:37:29
115,scripts/test photo for similarity_label_tool/27.jpg,scripts/test photo for similarity_label_tool/29.jpg,same_dir,0,0,0,anonymous,,2026-03-19T12:37:30
116,scripts/test photo for similarity_label_tool/14.jpg,scripts/test photo for similarity_label_tool/29.jpg,same_dir,0,0,0,anonymous,,2026-03-19T12:37:30
117,scripts/test photo for similarity_label_tool/101.jpg,__PCG_GENERATED__,pcg_generated,1,43073718,3,anonymous,,2026-03-19T12:37:32
118,scripts/test photo for similarity_label_tool/110.jpg,scripts/test photo for similarity_label_tool/41.jpg,same_dir,0,0,0,anonymous,,2026-03-19T12:37:33
119,scripts/test photo for similarity_label_tool/110.jpg,scripts/test photo for similarity_label_tool/14.jpg,same_dir,0,0,0,anonymous,,2026-03-19T12:37:34
120,scripts/test photo for similarity_label_tool/50.jpg,__PCG_GENERATED__,pcg_generated,1,43101246,1,anonymous,,2026-03-19T12:37:36
121,scripts/test photo for similarity_label_tool/158.jpg,scripts/test photo for similarity_label_tool/8.jpg,same_dir,0,0,0,anonymous,,2026-03-19T12:37:36
122,scripts/test photo for similarity_label_tool/140.jpg,scripts/test photo for similarity_label_tool/20.jpg,same_dir,0,0,0,anonymous,,2026-03-19T12:37:37
123,scripts/test photo for similarity_label_tool/68.jpg,__PCG_GENERATED__,pcg_generated,1,43128774,3,anonymous,,2026-03-19T12:37:39
124,scripts/test photo for similarity_label_tool/185.jpg,scripts/test photo for similarity_label_tool/34.jpg,same_dir,0,0,0,anonymous,,2026-03-19T12:37:40
125,scripts/test photo for similarity_label_tool/122.jpg,scripts/test photo for similarity_label_tool/26.jpg,same_dir,0,0,0,anonymous,,2026-03-19T12:37:40
126,scripts/test photo for similarity_label_tool/128.jpg,__PCG_GENERATED__,pcg_generated,1,43156302,2,anonymous,,2026-03-19T12:37:42
127,scripts/test photo for similarity_label_tool/140.jpg,scripts/test photo for similarity_label_tool/65.jpg,same_dir,0,0,0,anonymous,,2026-03-19T12:37:42
128,scripts/test photo for similarity_label_tool/170.jpg,scripts/test photo for similarity_label_tool/68.jpg,same_dir,0,0,0,anonymous,,2026-03-19T12:37:43
129,scripts/test photo for similarity_label_tool/38.jpg,__PCG_GENERATED__,pcg_generated,1,43183830,1,anonymous,,2026-03-19T12:37:44
130,scripts/test photo for similarity_label_tool/116.jpg,scripts/test photo for similarity_label_tool/34.jpg,same_dir,0,0,0,anonymous,,2026-03-19T12:37:44
131,scripts/test photo for similarity_label_tool/161.jpg,scripts/test photo for similarity_label_tool/173.jpg,same_dir,0,0,0,anonymous,,2026-03-19T12:37:45
132,scripts/test photo for similarity_label_tool/173.jpg,__PCG_GENERATED__,pcg_generated,1,43211358,1,anonymous,,2026-03-19T12:37:48
133,scripts/test photo for similarity_label_tool/179.jpg,scripts/test photo for similarity_label_tool/8.jpg,same_dir,0,0,0,anonymous,,2026-03-19T12:37:49
134,scripts/test photo for similarity_label_tool/33.jpg,scripts/test photo for similarity_label_tool/35.jpg,same_dir,0,0,0,anonymous,,2026-03-19T12:37:49
135,scripts/test photo for similarity_label_tool/158.jpg,__PCG_GENERATED__,pcg_generated,1,43238886,1,anonymous,,2026-03-19T12:37:54
136,scripts/test photo for similarity_label_tool/11.jpg,scripts/test photo for similarity_label_tool/17.jpg,same_dir,0,0,0,anonymous,,2026-03-19T12:37:55
137,scripts/test photo for similarity_label_tool/134.jpg,scripts/test photo for similarity_label_tool/140.jpg,same_dir,0,0,0,anonymous,,2026-03-19T12:37:56
138,scripts/test photo for similarity_label_tool/146.jpg,__PCG_GENERATED__,pcg_generated,1,43266414,1,anonymous,,2026-03-19T12:37:59
139,scripts/test photo for similarity_label_tool/176.jpg,scripts/test photo for similarity_label_tool/26.jpg,same_dir,0,0,0,anonymous,,2026-03-19T12:38:00
140,scripts/test photo for similarity_label_tool/131.jpg,scripts/test photo for similarity_label_tool/173.jpg,same_dir,0,0,0,anonymous,,2026-03-19T12:38:02
141,scripts/test photo for similarity_label_tool/125.jpg,__PCG_GENERATED__,pcg_generated,1,43293942,2,anonymous,,2026-03-19T12:38:04
142,scripts/test photo for similarity_label_tool/140.jpg,scripts/test photo for similarity_label_tool/179.jpg,same_dir,0,0,0,anonymous,,2026-03-19T12:38:04
143,scripts/test photo for similarity_label_tool/176.jpg,scripts/test photo for similarity_label_tool/68.jpg,same_dir,0,0,0,anonymous,,2026-03-19T12:38:05
144,scripts/test photo for similarity_label_tool/137.jpg,__PCG_GENERATED__,pcg_generated,1,43321470,3,anonymous,,2026-03-19T12:38:07
145,scripts/test photo for similarity_label_tool/11.jpg,scripts/test photo for similarity_label_tool/33.jpg,same_dir,0,0,0,anonymous,,2026-03-19T12:38:07
146,scripts/test photo for similarity_label_tool/113.jpg,scripts/test photo for similarity_label_tool/98.jpg,same_dir,0,0,0,anonymous,,2026-03-19T12:38:08
147,scripts/test photo for similarity_label_tool/95.jpg,__PCG_GENERATED__,pcg_generated,1,43348998,2,anonymous,,2026-03-19T12:38:10
148,scripts/test photo for similarity_label_tool/128.jpg,scripts/test photo for similarity_label_tool/170.jpg,same_dir,0,0,0,anonymous,,2026-03-19T12:38:10
149,scripts/test photo for similarity_label_tool/137.jpg,scripts/test photo for similarity_label_tool/182.jpg,same_dir,0,0,1,anonymous,,2026-03-19T12:38:13
150,scripts/test photo for similarity_label_tool/50.jpg,__PCG_GENERATED__,pcg_generated,1,43376526,0,anonymous,,2026-03-19T12:38:14
151,scripts/test photo for similarity_label_tool/11.jpg,scripts/test photo for similarity_label_tool/83.jpg,same_dir,0,0,0,anonymous,,2026-03-19T12:38:17
152,scripts/test photo for similarity_label_tool/101.jpg,scripts/test photo for similarity_label_tool/167.jpg,same_dir,0,0,0,anonymous,,2026-03-19T12:38:18
153,scripts/test photo for similarity_label_tool/158.jpg,__PCG_GENERATED__,pcg_generated,1,43404054,1,anonymous,,2026-03-19T12:38:21
154,scripts/test photo for similarity_label_tool/143.jpg,scripts/test photo for similarity_label_tool/89.jpg,same_dir,0,0,0,anonymous,,2026-03-19T12:38:22
155,scripts/test photo for similarity_label_tool/149.jpg,scripts/test photo for similarity_label_tool/173.jpg,same_dir,0,0,0,anonymous,,2026-03-19T12:38:22
156,scripts/test photo for similarity_label_tool/116.jpg,__PCG_GENERATED__,pcg_generated,1,43431582,2,anonymous,,2026-03-19T12:38:24
157,scripts/test photo for similarity_label_tool/125.jpg,scripts/test photo for similarity_label_tool/134.jpg,same_dir,0,0,2,anonymous,,2026-03-19T12:38:26
158,scripts/test photo for similarity_label_tool/155.jpg,scripts/test photo for similarity_label_tool/47.jpg,same_dir,0,0,1,anonymous,,2026-03-19T12:38:30
159,scripts/test photo for similarity_label_tool/113.jpg,__PCG_GENERATED__,pcg_generated,1,43459110,0,anonymous,,2026-03-19T12:38:32
160,scripts/test photo for similarity_label_tool/11.jpg,scripts/test photo for similarity_label_tool/29.jpg,same_dir,0,0,0,anonymous,,2026-03-19T12:38:33
161,scripts/test photo for similarity_label_tool/11.jpg,scripts/test photo for similarity_label_tool/95.jpg,same_dir,0,0,0,anonymous,,2026-03-19T12:38:34
162,scripts/test photo for similarity_label_tool/167.jpg,__PCG_GENERATED__,pcg_generated,1,43486638,1,anonymous,,2026-03-19T12:38:37
163,scripts/test photo for similarity_label_tool/131.jpg,scripts/test photo for similarity_label_tool/77.jpg,same_dir,0,0,0,anonymous,,2026-03-19T12:38:38
164,scripts/test photo for similarity_label_tool/119.jpg,scripts/test photo for similarity_label_tool/17.jpg,same_dir,0,0,0,anonymous,,2026-03-19T12:38:38
165,scripts/test photo for similarity_label_tool/116.jpg,__PCG_GENERATED__,pcg_generated,1,43514166,2,anonymous,,2026-03-19T12:38:41
166,scripts/test photo for similarity_label_tool/29.jpg,scripts/test photo for similarity_label_tool/30.jpg,same_dir,0,0,0,anonymous,,2026-03-19T12:38:42
167,scripts/test photo for similarity_label_tool/113.jpg,scripts/test photo for similarity_label_tool/31.jpg,same_dir,0,0,0,anonymous,,2026-03-19T12:38:43
168,scripts/test photo for similarity_label_tool/161.jpg,__PCG_GENERATED__,pcg_generated,1,43541694,1,anonymous,,2026-03-19T12:38:45
169,scripts/test photo for similarity_label_tool/29.jpg,scripts/test photo for similarity_label_tool/34.jpg,same_dir,0,0,0,anonymous,,2026-03-19T12:38:46
170,scripts/test photo for similarity_label_tool/34.jpg,scripts/test photo for similarity_label_tool/41.jpg,same_dir,0,0,0,anonymous,,2026-03-19T12:38:46
171,scripts/test photo for similarity_label_tool/77.jpg,__PCG_GENERATED__,pcg_generated,1,43569222,3,anonymous,,2026-03-19T12:38:48
172,scripts/test photo for similarity_label_tool/140.jpg,scripts/test photo for similarity_label_tool/143.jpg,same_dir,0,0,2,anonymous,,2026-03-19T12:38:50
173,scripts/test photo for similarity_label_tool/155.jpg,scripts/test photo for similarity_label_tool/179.jpg,same_dir,0,0,1,anonymous,,2026-03-19T12:38:51
174,scripts/test photo for similarity_label_tool/161.jpg,__PCG_GENERATED__,pcg_generated,1,43596750,1,anonymous,,2026-03-19T12:38:53
175,scripts/test photo for similarity_label_tool/50.jpg,scripts/test photo for similarity_label_tool/89.jpg,random,0,0,0,anonymous,,2026-03-19T12:38:54
176,scripts/test photo for similarity_label_tool/110.jpg,scripts/test photo for similarity_label_tool/89.jpg,random,0,0,0,anonymous,,2026-03-19T12:38:55
177,scripts/test photo for similarity_label_tool/30.jpg,__PCG_GENERATED__,pcg_generated,1,43624278,0,anonymous,,2026-03-19T12:38:57
178,scripts/test photo for similarity_label_tool/101.jpg,scripts/test photo for similarity_label_tool/179.jpg,random,0,0,0,anonymous,,2026-03-19T12:38:58
179,scripts/test photo for similarity_label_tool/28.jpg,scripts/test photo for similarity_label_tool/31.jpg,random,0,0,0,anonymous,,2026-03-19T12:38:58
180,scripts/test photo for similarity_label_tool/143.jpg,__PCG_GENERATED__,pcg_generated,1,43651806,1,anonymous,,2026-03-19T12:39:00
181,scripts/test photo for similarity_label_tool/110.jpg,scripts/test photo for similarity_label_tool/116.jpg,random,0,0,0,anonymous,,2026-03-19T12:39:01
182,scripts/test photo for similarity_label_tool/137.jpg,scripts/test photo for similarity_label_tool/26.jpg,random,0,0,0,anonymous,,2026-03-19T12:39:01
183,scripts/test photo for similarity_label_tool/68.jpg,__PCG_GENERATED__,pcg_generated,1,43679334,2,anonymous,,2026-03-19T12:39:08
184,scripts/test photo for similarity_label_tool/143.jpg,scripts/test photo for similarity_label_tool/20.jpg,random,0,0,0,anonymous,,2026-03-19T12:39:08
