round_number,timestamp,task_difficulty,previous_difficulty,difficulty_change,player_skill,player_accuracy,completion_time,difficulty_gap,is_in_flow,player_state,player_satisfaction,is_completed,attempted,gave_up,quit_early,notes
21,2026-03-12T15:51:44.459964,0.5574608612060548,0.5449217224121095,0.012539138793945304,0.48000000000000015,0.7940598049641808,52.34857259708414,0.07746086120605461,True,flow,1.0,True,True,False,False,α=0.5
22,2026-03-12T15:51:44.459967,0.5687304306030274,0.5574608612060548,0.011269569396972656,0.49000000000000016,0.9089754779457475,17.15687393198038,0.07873043060302726,True,flow,1.0,True,True,False,False,α=0.5
23,2026-03-12T15:51:44.459970,0.5793652153015139,0.5687304306030274,0.010634784698486444,0.5000000000000001,0.89371743595378,28.899740655143685,0.07936521530151375,True,flow,1.0,True,True,False,False,α=0.5
24,2026-03-12T15:51:44.459973,0.589682607650757,0.5793652153015139,0.010317392349243115,0.5100000000000001,0.9097666865769237,30.682335478988914,0.07968260765075685,True,flow,1.0,True,True,False,False,α=0.5
25,2026-03-12T15:51:44.459976,0.5998413038253785,0.589682607650757,0.010158696174621507,0.5200000000000001,0.8873978369747404,28.476008145802634,0.07984130382537835,True,flow,1.0,True,True,False,False,α=0.5
26,2026-03-12T15:51:44.459980,0.6099206519126893,0.5998413038253785,0.010079348087310813,0.5300000000000001,0.8426092948868236,22.549538283074504,0.07992065191268916,True,flow,1.0,True,True,False,False,α=0.5
27,2026-03-12T15:51:44.459984,0.6199603259563446,0.6099206519126893,0.010039674043655356,0.5400000000000001,0.8170778782985466,17.50324116065422,0.0799603259563445,True,flow,1.0,True,True,False,False,α=0.5
28,2026-03-12T15:51:44.459987,0.6299801629781724,0.6199603259563446,0.010019837021827738,0.5500000000000002,0.8061041006406353,33.02114525026667,0.07998016297817223,True,flow,1.0,True,True,False,False,α=0.5
29,2026-03-12T15:51:44.459990,0.6399900814890862,0.6299801629781724,0.010009918510913818,0.5600000000000002,0.8264469056391668,30.457580172114405,0.07999008148908604,True,flow,1.0,True,True,False,False,α=0.5
30,2026-03-12T15:51:44.459993,0.6499950407445432,0.6399900814890862,0.010004959255456969,0.5700000000000002,0.9052369748277994,48.61051228075594,0.079995040744543,True,flow,1.0,True,True,False,False,α=0.5
